d1,d2,d3,open,high
01,01,2008,532.549988,539
02,01,2008,528.799988,531.400024
03,01,2008,517.549988,524
04,01,2008,495,515
07,01,2008,502.549988,502.549988
08,01,2008,495.5,497.5
09,01,2008,495.274994,502.924988
10,01,2008,499.5,504.024994
11,01,2008,490.5,502.350006
14,01,2008,497.5,500
15,01,2008,483,489.850006
16,01,2008,469.5,483
17,01,2008,480,480.5
18,01,2008,462.5,465
21,01,2008,450.5,454.5
22,01,2008,417.5,434.5
23,01,2008,402.5,443.450012
24,01,2008,436.5,444.950012
25,01,2008,422,444.850006
28,01,2008,442.5,442.5
29,01,2008,427.5,441.5
30,01,2008,440,440
31,01,2008,432,442.5
01,02,2008,441,470.5
04,02,2008,470.5,493.5
05,02,2008,485.5,485.5
06,02,2008,462.5,463.350006
07,02,2008,447,454
08,02,2008,440.5,462.5
11,02,2008,450,465
12,02,2008,455,460
13,02,2008,435.149994,446
14,02,2008,440.5,449.5
15,02,2008,437.5,444
18,02,2008,432.5,444
19,02,2008,429,442
20,02,2008,441.5,446
21,02,2008,445,465.5
22,02,2008,455.5,459.75
25,02,2008,452.5,455.5
26,02,2008,455,457.899994
27,02,2008,452.475006,456.975006
28,02,2008,440.350006,444.350006
29,02,2008,447.5,449.5
03,03,2008,434.75,434.75
04,03,2008,428.5,432.399994
05,03,2008,425,441.450012
07,03,2008,430,430.950012
10,03,2008,420,427.350006
11,03,2008,412.5,415.5
12,03,2008,424,425
13,03,2008,408.049988,409
14,03,2008,389.5,404.975006
17,03,2008,390.5,399
18,03,2008,394.850006,414
19,03,2008,415,420
24,03,2008,407.5,418.399994
25,03,2008,417.424988,449.5
26,03,2008,440,445
27,03,2008,430.549988,437.5
28,03,2008,425,436
31,03,2008,432.5,434.5
01,04,2008,407.5,425.5
02,04,2008,425,434.899994
03,04,2008,415.5,445.600006
04,04,2008,442.5,443.5
07,04,2008,437.5,458.899994
08,04,2008,452.5,457.5
09,04,2008,440,446.125
10,04,2008,436.149994,459.649994
11,04,2008,490,490
15,04,2008,452.5,494
16,04,2008,492.5,500.024994
17,04,2008,490.5,505
21,04,2008,507.5,519.349976
22,04,2008,484.5,490
23,04,2008,447.5,454.399994
24,04,2008,467.950012,485
25,04,2008,448,451
28,04,2008,443.5,450
29,04,2008,444.5,466.5
30,04,2008,457.5,467.5
02,05,2008,465,480.5
05,05,2008,472.5,477
06,05,2008,457.25,475.5
07,05,2008,475,489.5
08,05,2008,483,485.5
09,05,2008,467.5,477
12,05,2008,450.524994,467
13,05,2008,468.5,472.5
14,05,2008,450,489.950012
15,05,2008,487.850006,500.024994
16,05,2008,499,500.075012
20,05,2008,488.075012,488.899994
21,05,2008,476.375,484
22,05,2008,475,492.5
23,05,2008,482.5,489.350006
26,05,2008,462.5,482.424988
27,05,2008,480,492.5
28,05,2008,487.5,507.950012
29,05,2008,507.5,513.375
30,05,2008,497.674988,523.974976
02,06,2008,514,527
03,06,2008,485,495
04,06,2008,489.424988,489.424988
05,06,2008,479.049988,498
06,06,2008,497,498.899994
09,06,2008,470,482.5
10,06,2008,454.5,457.825012
11,06,2008,447,454.975006
12,06,2008,434,450.924988
13,06,2008,449.5,460.549988
16,06,2008,460,463.975006
17,06,2008,455,463.5
18,06,2008,462.5,462.5
19,06,2008,447.5,447.950012
20,06,2008,447.5,450
23,06,2008,425.5,439.5
24,06,2008,430,432.399994
25,06,2008,410,443
26,06,2008,442.5,444.950012
27,06,2008,432.5,436
30,06,2008,432.450012,439
01,07,2008,429.399994,439.450012
02,07,2008,419,444
03,07,2008,437,439
04,07,2008,422.549988,434.5
07,07,2008,425,431.975006
08,07,2008,426,426
09,07,2008,424.875,444.5
10,07,2008,442.5,445
11,07,2008,441,445
14,07,2008,397.5,399
15,07,2008,380,392.5
16,07,2008,379.5,384.5
17,07,2008,374,391
18,07,2008,395,400.850006
21,07,2008,397.549988,409.200012
22,07,2008,407,420.975006
23,07,2008,423.5,432
24,07,2008,432,432
25,07,2008,397.549988,409.5
28,07,2008,399.5,408.5
29,07,2008,400,406.125
30,07,2008,407.450012,421.5
31,07,2008,420.5,420.5
01,08,2008,414.5,428.75
04,08,2008,419.625,419.975006
05,08,2008,410,417.75
06,08,2008,420,434.350006
07,08,2008,430,435
08,08,2008,425,427
11,08,2008,430,430
12,08,2008,419,420.950012
13,08,2008,407.5,417.5
14,08,2008,417.5,421.25
18,08,2008,414.5,426
19,08,2008,420.5,425
20,08,2008,422.5,424.5
21,08,2008,417.5,421.5
22,08,2008,407.5,412
25,08,2008,412.5,416.5
26,08,2008,408.5,418.200012
27,08,2008,417.75,420
28,08,2008,410,412.5
29,08,2008,407,409.75
01,09,2008,405,409.5
02,09,2008,412.5,426.25
04,09,2008,422.5,427.475006
05,09,2008,422.5,425.950012
08,09,2008,430,437.5
09,09,2008,426.5,435.049988
10,09,2008,432.950012,434.799988
11,09,2008,424.950012,425.5
12,09,2008,417.5,422.5
15,09,2008,400,400
16,09,2008,375,375.475006
17,09,2008,379.5,382
18,09,2008,360,373
19,09,2008,365,387.5
